base_case_id,scenario_name,modified_features,base_prediction,scenario_prediction,delta_prediction,delta_prediction_pct,actual_value,absolute_error_base,scenario_type,interpretation,within_training_range,range_warning
median_quality_case,Amina Flow +5%,"[{""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 384.0054, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Amina Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Amina Flow -5%,"[{""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 347.4334, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Amina Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Starch Flow -5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2436.8815, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Starch Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Starch Flow +5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2693.3954, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Starch Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Ore Pulp pH +0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 9.3589, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Ore Pulp pH +0.2 is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Ore Pulp pH -0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 8.9589, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,manual_operational,"Under the learned model behavior, Ore Pulp pH -0.2 is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,recent lab silica trend +0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.34, ""new_value"": 2.54, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 4.18, ""new_value"": 4.38, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2442,0.0278,1.26,3.07,0.8536,lab_trend_feature,"Under the learned model behavior, recent lab silica trend +0.2 pp is associated with a recent-lab-pattern stress test where the model predicts higher silica by 0.0278. This is not a causal or operational recommendation.",True,
median_quality_case,recent lab silica trend -0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.34, ""new_value"": 2.14, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 4.18, ""new_value"": 3.98, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2164,2.1574,-0.059,-2.66,3.07,0.8536,lab_trend_feature,"Under the learned model behavior, recent lab silica trend -0.2 pp is associated with a recent-lab-pattern stress test where the model predicts lower silica by 0.0590. This is not a causal or operational recommendation.",True,
median_quality_case,Lower predicted silica package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 9.3589, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 384.0054, ""change"": ""+5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2693.3954, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,combined_package,"Under the learned model behavior, Lower predicted silica package is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Higher predicted silica stress test,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 8.9589, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 347.4334, ""change"": ""-5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2436.8815, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,combined_package,"Under the learned model behavior, Higher predicted silica stress test is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Conservative small-adjustment package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 9.2589, ""change"": ""+0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 374.8624, ""change"": ""+2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2629.2669, ""change"": ""+2.5%"", ""mode"": ""pct""}]",2.2164,2.2164,-0.0,-0.0,3.07,0.8536,combined_package,"Under the learned model behavior, Conservative small-adjustment package is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
median_quality_case,Process drift warning scenario,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 9.0589, ""change"": ""-0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 356.5764, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2501.01, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.34, ""new_value"": 2.54, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 4.18, ""new_value"": 4.38, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2442,0.0278,1.26,3.07,0.8536,combined_package,"Under the learned model behavior, Process drift warning scenario is associated with a scenario in which the model predicts higher silica by 0.0278. This is not a causal or operational recommendation.",True,
high_silica_case,Amina Flow +5%,"[{""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 689.6773, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Amina Flow +5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Amina Flow -5%,"[{""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 623.9938, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Amina Flow -5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Starch Flow -5%,"[{""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3099.5631, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Starch Flow -5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Starch Flow +5%,"[{""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3425.8329, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Starch Flow +5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Ore Pulp pH +0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.3668, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Ore Pulp pH +0.2 is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Ore Pulp pH -0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 8.9668, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Ore Pulp pH -0.2 is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,recent lab silica trend +0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.39, ""new_value"": 2.59, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 3.09, ""new_value"": 3.29, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2382,2.3917,0.1535,6.86,5.53,3.2918,lab_trend_feature,"Under the learned model behavior, recent lab silica trend +0.2 pp is associated with a recent-lab-pattern stress test where the model predicts higher silica by 0.1535. This is not a causal or operational recommendation.",True,
high_silica_case,recent lab silica trend -0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.39, ""new_value"": 2.19, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 3.09, ""new_value"": 2.89, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2382,2.2147,-0.0235,-1.05,5.53,3.2918,lab_trend_feature,"Under the learned model behavior, recent lab silica trend -0.2 pp is associated with a recent-lab-pattern stress test where the model predicts lower silica by 0.0235. This is not a causal or operational recommendation.",True,
high_silica_case,Lower predicted silica package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.3668, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 689.6773, ""change"": ""+5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3425.8329, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,combined_package,"Under the learned model behavior, Lower predicted silica package is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Higher predicted silica stress test,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 8.9668, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 623.9938, ""change"": ""-5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3099.5631, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,combined_package,"Under the learned model behavior, Higher predicted silica stress test is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Conservative small-adjustment package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.2668, ""change"": ""+0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 673.2564, ""change"": ""+2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3344.2654, ""change"": ""+2.5%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,combined_package,"Under the learned model behavior, Conservative small-adjustment package is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Process drift warning scenario,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.0668, ""change"": ""-0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 640.4147, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3181.1305, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.39, ""new_value"": 2.59, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 3.09, ""new_value"": 3.29, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2382,2.3917,0.1535,6.86,5.53,3.2918,combined_package,"Under the learned model behavior, Process drift warning scenario is associated with a scenario in which the model predicts higher silica by 0.1535. This is not a causal or operational recommendation.",True,
low_silica_case,Amina Flow +5%,"[{""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 410.6278, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.5657,1.5657,-0.0,-0.0,0.84,0.7257,manual_operational,"Under the learned model behavior, Amina Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
low_silica_case,Amina Flow -5%,"[{""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 371.5204, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.5657,1.5657,-0.0,-0.0,0.84,0.7257,manual_operational,"Under the learned model behavior, Amina Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
low_silica_case,Starch Flow -5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2122.5571, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.5657,1.5657,-0.0,-0.0,0.84,0.7257,manual_operational,"Under the learned model behavior, Starch Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
low_silica_case,Starch Flow +5%,"[{""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2345.9841, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.5657,1.5651,-0.0006,-0.04,0.84,0.7257,manual_operational,"Under the learned model behavior, Starch Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0006. This is not a causal or operational recommendation.",True,
low_silica_case,Ore Pulp pH +0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 10.0252, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.5657,1.5647,-0.001,-0.06,0.84,0.7257,manual_operational,"Under the learned model behavior, Ore Pulp pH +0.2 is associated with a scenario in which the model predicts lower silica by 0.0010. This is not a causal or operational recommendation.",True,
low_silica_case,Ore Pulp pH -0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 9.6252, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",1.5657,1.568,0.0023,0.15,0.84,0.7257,manual_operational,"Under the learned model behavior, Ore Pulp pH -0.2 is associated with a scenario in which the model predicts higher silica by 0.0023. This is not a causal or operational recommendation.",True,
low_silica_case,recent lab silica trend +0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.25, ""new_value"": 1.45, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.24, ""new_value"": 1.44, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.5657,1.6851,0.1194,7.63,0.84,0.7257,lab_trend_feature,"Under the learned model behavior, recent lab silica trend +0.2 pp is associated with a recent-lab-pattern stress test where the model predicts higher silica by 0.1194. This is not a causal or operational recommendation.",True,
low_silica_case,recent lab silica trend -0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.25, ""new_value"": 1.05, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.24, ""new_value"": 1.04, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",1.5657,1.3898,-0.1759,-11.23,0.84,0.7257,lab_trend_feature,"Under the learned model behavior, recent lab silica trend -0.2 pp is associated with a recent-lab-pattern stress test where the model predicts lower silica by 0.1759. This is not a causal or operational recommendation.",True,
low_silica_case,Lower predicted silica package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 10.0252, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 410.6278, ""change"": ""+5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2345.9841, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.5657,1.5641,-0.0016,-0.1,0.84,0.7257,combined_package,"Under the learned model behavior, Lower predicted silica package is associated with a scenario in which the model predicts lower silica by 0.0016. This is not a causal or operational recommendation.",True,
low_silica_case,Higher predicted silica stress test,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 9.6252, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 371.5204, ""change"": ""-5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2122.5571, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.5657,1.568,0.0023,0.15,0.84,0.7257,combined_package,"Under the learned model behavior, Higher predicted silica stress test is associated with a scenario in which the model predicts higher silica by 0.0023. This is not a causal or operational recommendation.",True,
low_silica_case,Conservative small-adjustment package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 9.9252, ""change"": ""+0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 400.851, ""change"": ""+2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2290.1274, ""change"": ""+2.5%"", ""mode"": ""pct""}]",1.5657,1.5641,-0.0016,-0.1,0.84,0.7257,combined_package,"Under the learned model behavior, Conservative small-adjustment package is associated with a scenario in which the model predicts lower silica by 0.0016. This is not a causal or operational recommendation.",True,
low_silica_case,Process drift warning scenario,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.8252, ""new_value"": 9.7252, ""change"": ""-0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 391.0741, ""new_value"": 381.2973, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2234.2706, ""new_value"": 2178.4138, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.25, ""new_value"": 1.45, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.24, ""new_value"": 1.44, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.5657,1.6851,0.1194,7.63,0.84,0.7257,combined_package,"Under the learned model behavior, Process drift warning scenario is associated with a scenario in which the model predicts higher silica by 0.1194. This is not a causal or operational recommendation.",True,
high_error_case,Amina Flow +5%,"[{""feature"": ""Amina Flow"", ""old_value"": 576.9738, ""new_value"": 605.8225, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.4629,1.4629,-0.0,-0.0,5.27,3.8071,manual_operational,"Under the learned model behavior, Amina Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
high_error_case,Amina Flow -5%,"[{""feature"": ""Amina Flow"", ""old_value"": 576.9738, ""new_value"": 548.1251, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.4629,1.4629,-0.0,-0.0,5.27,3.8071,manual_operational,"Under the learned model behavior, Amina Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
high_error_case,Starch Flow -5%,"[{""feature"": ""Starch Flow"", ""old_value"": 3394.8656, ""new_value"": 3225.1223, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.4629,1.4629,-0.0,-0.0,5.27,3.8071,manual_operational,"Under the learned model behavior, Starch Flow -5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
high_error_case,Starch Flow +5%,"[{""feature"": ""Starch Flow"", ""old_value"": 3394.8656, ""new_value"": 3564.6089, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.4629,1.4629,-0.0,-0.0,5.27,3.8071,manual_operational,"Under the learned model behavior, Starch Flow +5% is associated with a scenario in which the model predicts lower silica by 0.0000. This is not a causal or operational recommendation.",True,
high_error_case,Ore Pulp pH +0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.9051, ""new_value"": 10.1051, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.4629,1.4652,0.0023,0.16,5.27,3.8071,manual_operational,"Under the learned model behavior, Ore Pulp pH +0.2 is associated with a scenario in which the model predicts higher silica by 0.0023. This is not a causal or operational recommendation.",True,
high_error_case,Ore Pulp pH -0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.9051, ""new_value"": 9.7051, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",1.4629,1.4619,-0.001,-0.07,5.27,3.8071,manual_operational,"Under the learned model behavior, Ore Pulp pH -0.2 is associated with a scenario in which the model predicts lower silica by 0.0010. This is not a causal or operational recommendation.",True,
high_error_case,recent lab silica trend +0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.19, ""new_value"": 1.39, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.19, ""new_value"": 1.39, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.4629,1.6327,0.1698,11.61,5.27,3.8071,lab_trend_feature,"Under the learned model behavior, recent lab silica trend +0.2 pp is associated with a recent-lab-pattern stress test where the model predicts higher silica by 0.1698. This is not a causal or operational recommendation.",True,
high_error_case,recent lab silica trend -0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.19, ""new_value"": 0.99, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.19, ""new_value"": 0.99, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",1.4629,1.4057,-0.0572,-3.91,5.27,3.8071,lab_trend_feature,"Under the learned model behavior, recent lab silica trend -0.2 pp is associated with a recent-lab-pattern stress test where the model predicts lower silica by 0.0572. This is not a causal or operational recommendation.",True,
high_error_case,Lower predicted silica package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.9051, ""new_value"": 10.1051, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 576.9738, ""new_value"": 605.8225, ""change"": ""+5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3394.8656, ""new_value"": 3564.6089, ""change"": ""+5.0%"", ""mode"": ""pct""}]",1.4629,1.4652,0.0023,0.16,5.27,3.8071,combined_package,"Under the learned model behavior, Lower predicted silica package is associated with a scenario in which the model predicts higher silica by 0.0023. This is not a causal or operational recommendation.",True,
high_error_case,Higher predicted silica stress test,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.9051, ""new_value"": 9.7051, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 576.9738, ""new_value"": 548.1251, ""change"": ""-5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3394.8656, ""new_value"": 3225.1223, ""change"": ""-5.0%"", ""mode"": ""pct""}]",1.4629,1.4619,-0.001,-0.07,5.27,3.8071,combined_package,"Under the learned model behavior, Higher predicted silica stress test is associated with a scenario in which the model predicts lower silica by 0.0010. This is not a causal or operational recommendation.",True,
high_error_case,Conservative small-adjustment package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.9051, ""new_value"": 10.0051, ""change"": ""+0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 576.9738, ""new_value"": 591.3982, ""change"": ""+2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3394.8656, ""new_value"": 3479.7372, ""change"": ""+2.5%"", ""mode"": ""pct""}]",1.4629,1.4652,0.0023,0.16,5.27,3.8071,combined_package,"Under the learned model behavior, Conservative small-adjustment package is associated with a scenario in which the model predicts higher silica by 0.0023. This is not a causal or operational recommendation.",True,
high_error_case,Process drift warning scenario,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.9051, ""new_value"": 9.8051, ""change"": ""-0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 576.9738, ""new_value"": 562.5495, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3394.8656, ""new_value"": 3309.9939, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 1.19, ""new_value"": 1.39, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 1.19, ""new_value"": 1.39, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",1.4629,1.6315,0.1686,11.52,5.27,3.8071,combined_package,"Under the learned model behavior, Process drift warning scenario is associated with a scenario in which the model predicts higher silica by 0.1686. This is not a causal or operational recommendation.",True,
